ชื่อ,รหัส 9 หลักใหม่,รหัส 9 หลัก,รหัส 5 หลัก,เลขอนุญาตให้ประกอบสถานบริการสุขภาพ 11 หลัก,ประเภทองค์กร,ประเภทหน่วยบริการสุขภาพ,สังกัด,แผนก/กรม,ระดับโรงพยาบาล,เตียงที่ใช้จริง,สถานะการใช้งาน,เขตบริการ,health_region_id,ที่อยู่,code,จังหวัด,รหัสอำเภอ,อำเภอ/เขต,รหัสตำบล,ตำบล/แขวง,หมู่,รหัสไปรษณีย์,แม่ข่าย,วันที่ก่อตั้ง,วันที่ปิดบริการ,อัพเดตล่าสุด(เริ่ม 05/09/2566)
โรงพยาบาลไทรงาม,EA0011229,1122900,11229,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 3,3,1,62,กำแพงเพชร,6202,ไทรงาม,620201,ไทรงาม,4,62150,,,,6/12/2023
โรงพยาบาลเสริมงาม,EA0011148,1114800,11148,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,,52,ลำปาง,5204,เสริมงาม,520401,ทุ่งงาม,1,,,,,6/12/2023
คลินิกทันตกรรมและแพทย์แผนไทย สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,GA0077469,2501,77469,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,258,37,อำนาจเจริญ,3701,เมืองอำนาจเจริญ,370113,โนนหนามแท่ง,2,37000,สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,4/1/2021,,30/1/2024
สำนักงานสาธารณสุขจังหวัดนนทบุรี,AA0000002,200,2,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,ถ.รัตนาธิเบศร์,12,นนทบุรี,1201,เมืองนนทบุรี,120104,บางกระสอ,8,11000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดลำปาง,AA0000039,3900,39,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,3 ถ.ป่าขาม 1,52,ลำปาง,5201,เมืองลำปาง,520102,หัวเวียง,0,52000,,,,21/9/2023
โรงพยาบาลวัดสมานรัตนาราม (พุทธโสธร 2),GA0077467,1069704,77467,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,,24,ฉะเชิงเทรา,2401,เมืองฉะเชิงเทรา,240108,บางแก้ว,11,24000,โรงพยาบาลพุทธโสธร,4/12/2020,,30/1/2024
โรงพยาบาลบางปะกง,EA0010852,1085200,10852,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,90,กำลังใช้งาน,เขตสุขภาพที่ 6,6,142 ถนนบางนา-ตราด,24,ฉะเชิงเทรา,2404,บางปะกง,240401,บางปะกง,13,24130,,,,6/12/2023
โรงพยาบาลแม่ฟ้าหลวง,EA0011200,1120000,11200,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,200 บ้านห้วยหยวกหินแตก,57,เชียงราย,5715,แม่ฟ้าหลวง,571502,แม่สลองใน,1,57240,,,,26/12/2023
โรงพยาบาลพร้าว,EA0011127,1112700,11127,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 1,1,181,50,เชียงใหม่,5011,พร้าว,501101,เวียง,4,50190,,,,19/3/2024
โรงพยาบาลอำนาจเจริญ,EA0010703,1070300,10703,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,432,กำลังใช้งาน,เขตสุขภาพที่ 10,10,291 ถ.อรุณประเสริฐ,37,อำนาจเจริญ,3701,เมืองอำนาจเจริญ,370101,บุ่ง,6,37000,,,,27/8/2025
